,simple_polytope,p3,temperature(p3),p3_odd,p4,temperature(p4),p4_odd,p5,temperature(p5),p5_odd,p6,temperature(p6),p6_odd,p7,temperature(p7),sum(pk_for_k>7),n,independence_number,second_largest_adjacency_eigenvalue,matching_number,claw_free,avg(temperature),max(temperature),|p3 - p6|,|p4 - p6|,|p5 - p6|,|p6 - p7|,rad,diam,max(pk),fullerene,p3>0,p4>0,p5>0,p6>0,p3>p4,p4>p5,p5>p6,p6>p7,sum(pk_for_k>7)>(p3+p4+p5+p6+p7),sum(pk_for_k>7)<(p3+p4+p5+p6+p7),perfect_matching,p3<p4,p4<p5,p5<p6,p6<p7
0,True,0,0.0,False,0,0.0,False,12,0.75,False,16,1.3333333333333333,False,0,0.0,0.0,52,23,2.8196347028160584,26,False,0.5208333333333333,1.3333333333333333,16,16,4,16,7,9,16,True,False,False,True,True,False,False,False,True,False,True,True,False,True,True,False
1,True,0,0.0,False,0,0.0,False,12,0.9230769230769231,False,13,1.0833333333333333,True,0,0.0,0.0,46,20,2.7508164037243152,23,False,0.5016025641025641,1.0833333333333333,13,13,1,13,7,8,13,True,False,False,True,True,False,False,False,True,False,True,True,False,True,True,False
2,True,0,0.0,False,0,0.0,False,12,1.0,False,12,1.0,False,0,0.0,0.0,44,19,2.7125759994452334,22,False,0.5,1.0,12,12,0,12,7,8,12,True,False,False,True,True,False,False,False,True,False,True,True,False,True,False,False
3,True,0,0.0,False,0,0.0,False,12,1.5,False,8,0.6666666666666666,False,0,0.0,0.0,36,16,2.6574123901045184,18,False,0.5416666666666666,1.5,8,8,4,8,6,7,12,True,False,False,True,True,False,False,True,True,False,True,True,False,True,False,False
4,True,6,1.2,False,0,0.0,False,0,0.0,False,2,0.2222222222222222,False,0,0.0,3.0,18,6,2.5615528128088303,9,True,0.299537037037037,1.2,4,2,2,2,4,5,6,False,True,False,False,True,True,False,False,True,False,True,True,False,False,True,False
5,True,0,0.0,False,8,1.1428571428571428,False,3,0.25,True,1,0.07142857142857142,True,2,0.15384615384615385,1.0,26,12,2.682906379113722,13,False,0.18772893772893773,1.1428571428571428,1,7,2,1,4,6,8,False,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True
6,True,2,0.3333333333333333,False,3,0.6,True,1,0.14285714285714285,True,1,0.14285714285714285,True,1,0.14285714285714285,0.0,12,5,2.3716737420302088,6,False,0.27238095238095233,0.6,1,2,0,0,3,4,3,False,True,True,True,True,False,True,False,False,False,True,True,True,False,False,False
7,True,0,0.0,False,0,0.0,False,30,3.3333333333333335,False,0,0.0,False,3,0.08333333333333333,6.0,74,31,2.890721959335372,37,False,0.3988934755188625,3.3333333333333335,0,0,30,3,7,11,30,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True
8,True,0,0.0,False,0,0.0,False,30,3.3333333333333335,False,0,0.0,False,3,0.08333333333333333,6.0,74,31,2.8950126964769036,37,False,0.3988934755188625,3.3333333333333335,0,0,30,3,8,11,30,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True
9,True,0,0.0,False,0,0.0,False,31,3.875,True,0,0.0,False,2,0.05405405405405406,6.0,74,31,2.890456167048267,37,False,0.4551079274763485,3.875,0,0,31,2,8,11,31,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True
10,True,0,0.0,False,52,26.0,False,0,0.0,False,0,0.0,False,0,0.0,2.0,104,52,2.9854177481961113,52,False,0.5207692307692308,26.0,0,52,0,0,27,27,52,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False
11,True,0,0.0,False,46,23.0,False,0,0.0,False,0,0.0,False,0,0.0,2.0,92,46,2.9813718920726644,46,False,0.5237154150197628,23.0,0,46,0,0,24,24,46,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False
12,True,0,0.0,False,47,23.5,True,0,0.0,False,0,0.0,False,0,0.0,2.0,94,46,2.9821549763095603,47,False,0.5231678486997636,23.5,0,47,0,0,24,24,47,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False
13,True,0,0.0,False,4,0.5,False,6,1.0,False,1,0.09090909090909091,True,0,0.0,1.0,20,9,2.5991400121416164,10,False,0.2803030303030303,1.0,1,3,5,1,4,6,6,False,False,True,True,True,False,False,True,True,False,True,True,True,True,False,False
14,True,0,0.0,False,53,26.5,True,0,0.0,False,0,0.0,False,0,0.0,2.0,106,52,2.985962192027035,53,False,0.5203477617462079,26.5,0,53,0,0,27,27,53,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False
15,True,0,0.0,False,0,0.0,False,30,3.3333333333333335,False,0,0.0,False,3,0.08333333333333333,6.0,74,30,2.8872809897760225,37,False,0.3988934755188625,3.3333333333333335,0,0,30,3,8,11,30,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True
16,True,0,0.0,False,0,0.0,False,30,3.3333333333333335,False,0,0.0,False,3,0.08333333333333333,6.0,74,30,2.8640265218166654,37,False,0.3988934755188625,3.3333333333333335,0,0,30,3,8,10,30,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True
17,True,0,0.0,False,0,0.0,False,30,3.3333333333333335,False,0,0.0,False,3,0.08333333333333333,6.0,74,30,2.892502004166548,37,False,0.3988934755188625,3.3333333333333335,0,0,30,3,7,11,30,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True
18,True,2,0.3333333333333333,False,4,1.0,False,0,0.0,False,0,0.0,False,2,0.3333333333333333,0.0,12,5,2.342923082777172,6,False,0.3333333333333333,1.0,2,4,0,2,3,4,4,False,True,True,False,False,False,True,False,False,False,True,True,True,False,False,True
19,True,0,0.0,False,7,1.0,True,3,0.2727272727272727,True,2,0.16666666666666666,False,1,0.07692307692307693,1.0,24,11,2.631270259209245,12,False,0.19915501165501165,1.0,2,5,1,1,4,6,7,False,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False
20,True,0,0.0,False,6,0.75,False,0,0.0,False,8,1.3333333333333333,False,0,0.0,0.0,24,12,2.4142135623730976,12,False,0.5208333333333333,1.3333333333333333,8,2,8,8,6,6,8,False,False,True,False,True,False,True,False,True,False,True,True,True,False,True,False
21,True,0,0.0,False,0,0.0,False,12,1.7142857142857142,False,7,0.5833333333333334,True,0,0.0,0.0,34,15,2.612956173839262,17,False,0.5744047619047619,1.7142857142857142,7,7,5,7,5,6,12,True,False,False,True,True,False,False,True,True,False,True,True,False,True,False,False
22,True,0,0.0,False,0,0.0,False,12,1.0,False,12,1.0,False,0,0.0,0.0,44,19,2.7136405307202995,22,False,0.5,1.0,12,12,0,12,7,8,12,True,False,False,True,True,False,False,False,True,False,True,True,False,True,False,False
23,True,0,0.0,False,0,0.0,False,12,0.9230769230769231,False,13,1.0833333333333333,True,0,0.0,0.0,46,20,2.7489092869339915,23,False,0.5016025641025641,1.0833333333333333,13,13,1,13,7,8,13,True,False,False,True,True,False,False,False,True,False,True,True,False,True,True,False
24,True,0,0.0,False,0,0.0,False,12,0.9230769230769231,False,13,1.0833333333333333,True,0,0.0,0.0,46,20,2.7671204177618964,23,False,0.5016025641025641,1.0833333333333333,13,13,1,13,7,8,13,True,False,False,True,True,False,False,False,True,False,True,True,False,True,True,False
25,True,0,0.0,False,0,0.0,False,12,1.0,False,12,1.0,False,0,0.0,0.0,44,19,2.7226832140132102,22,False,0.5,1.0,12,12,0,12,7,8,12,True,False,False,True,True,False,False,False,True,False,True,True,False,True,False,False
26,True,0,0.0,False,0,0.0,False,12,0.8,False,15,1.25,True,0,0.0,0.0,50,22,2.8069476621141303,25,False,0.5125,1.25,15,15,3,15,7,9,15,True,False,False,True,True,False,False,False,True,False,True,True,False,True,True,False
27,True,0,0.0,False,0,0.0,False,12,1.2,False,10,0.8333333333333334,False,0,0.0,0.0,40,17,2.6822379524927986,20,False,0.5083333333333333,1.2,10,10,2,10,7,7,12,True,False,False,True,True,False,False,True,True,False,True,True,False,True,False,False
28,True,0,0.0,False,0,0.0,False,12,1.7142857142857142,False,7,0.5833333333333334,True,0,0.0,0.0,34,14,2.675707218364572,17,False,0.5744047619047619,1.7142857142857142,7,7,5,7,6,7,12,True,False,False,True,True,False,False,True,True,False,True,True,False,True,False,False
29,True,0,0.0,False,0,0.0,False,12,1.0,False,12,1.0,False,0,0.0,0.0,44,20,2.712552327560216,22,False,0.5,1.0,12,12,0,12,7,8,12,True,False,False,True,True,False,False,False,True,False,True,True,False,True,False,False
