,first_disk_embedded,first_disk_t_bundle,second_disk_embedded,second_disk_t_bundle,length_first_disk,length_second_disk,length_third_disk,length_fourth_disk,length_fifth_disk,length_sixth_disk,N,fake_surface
0,False,False,True,True,5,1,,,,,8,True
1,False,True,True,True,5,1,,,,,8,True
2,False,False,True,False,9,2,1.0,,,,11,True
3,False,True,True,False,9,2,1.0,,,,11,True
4,False,True,True,True,10,1,1.0,,,,11,True
5,False,False,True,True,10,1,1.0,,,,11,True
6,False,True,True,True,10,1,1.0,,,,11,True
7,False,True,True,True,10,1,1.0,,,,11,True
8,False,True,True,False,10,1,1.0,,,,11,True
9,False,False,True,False,10,1,1.0,,,,11,True
10,False,False,True,True,10,1,1.0,,,,11,True
11,False,False,False,False,7,4,1.0,,,,11,True
12,False,True,False,True,7,4,1.0,,,,11,True
13,False,True,False,False,7,4,1.0,,,,11,True
14,False,True,False,False,7,4,1.0,,,,11,True
15,False,False,False,True,8,3,1.0,,,,11,True
16,False,True,False,True,8,3,1.0,,,,11,True
17,False,False,True,False,8,2,2.0,,,,11,True
18,False,True,True,False,8,2,2.0,,,,11,True
19,False,False,False,True,8,5,3.0,2.0,,,14,True
20,False,True,False,True,8,5,3.0,2.0,,,14,True
21,False,False,False,True,10,4,3.0,1.0,,,14,True
22,False,True,False,False,10,4,3.0,1.0,,,14,True
23,False,False,False,False,10,4,3.0,1.0,,,14,True
24,False,False,False,False,10,4,3.0,1.0,,,14,True
25,False,True,False,True,9,5,3.0,1.0,,,14,True
26,False,True,False,True,9,5,3.0,1.0,,,14,True
27,False,False,False,True,9,5,3.0,1.0,,,14,True
28,False,False,False,True,9,5,3.0,1.0,,,14,True
29,False,True,False,False,9,5,3.0,1.0,,,14,True
30,False,False,False,False,9,5,3.0,1.0,,,14,True
31,False,True,False,False,9,6,2.0,1.0,,,14,True
32,False,True,False,True,9,6,2.0,1.0,,,14,True
33,False,False,False,True,9,6,2.0,1.0,,,14,True
34,False,True,False,False,9,6,2.0,1.0,,,14,True
35,False,False,False,False,9,6,2.0,1.0,,,14,True
36,False,False,False,False,9,6,2.0,1.0,,,14,True
37,False,True,False,False,9,6,2.0,1.0,,,14,True
38,False,False,False,True,9,6,2.0,1.0,,,14,True
39,False,False,False,False,9,6,2.0,1.0,,,14,True
40,False,False,False,False,9,6,2.0,1.0,,,14,True
41,False,True,True,False,14,2,1.0,1.0,,,14,True
42,False,False,True,True,14,2,1.0,1.0,,,14,True
43,False,True,True,False,14,2,1.0,1.0,,,14,True
44,False,True,True,True,14,2,1.0,1.0,,,14,True
45,False,False,True,False,14,2,1.0,1.0,,,14,True
46,False,True,True,False,14,2,1.0,1.0,,,14,True
47,False,False,True,False,14,2,1.0,1.0,,,14,True
48,False,False,True,False,14,2,1.0,1.0,,,14,True
49,False,False,True,True,14,2,1.0,1.0,,,14,True
50,False,True,True,False,14,2,1.0,1.0,,,14,True
51,False,False,True,True,14,2,1.0,1.0,,,14,True
52,False,True,True,True,14,2,1.0,1.0,,,14,True
53,False,False,True,False,14,2,1.0,1.0,,,14,True
54,False,True,True,False,14,2,1.0,1.0,,,14,True
55,False,False,True,False,14,2,1.0,1.0,,,14,True
56,False,True,True,True,14,2,1.0,1.0,,,14,True
57,False,True,True,True,14,2,1.0,1.0,,,14,True
58,False,False,True,False,14,2,1.0,1.0,,,14,True
59,False,True,True,False,14,2,1.0,1.0,,,14,True
60,False,False,True,True,14,2,1.0,1.0,,,14,True
61,False,False,False,True,10,5,2.0,1.0,,,14,True
62,False,True,False,True,10,5,2.0,1.0,,,14,True
63,False,False,False,True,10,5,2.0,1.0,,,14,True
64,False,True,False,True,10,5,2.0,1.0,,,14,True
65,False,True,False,True,10,5,2.0,1.0,,,14,True
66,False,False,False,True,10,5,2.0,1.0,,,14,True
67,False,False,False,True,8,8,1.0,1.0,,,14,True
68,False,False,False,True,8,8,1.0,1.0,,,14,True
69,False,False,False,False,8,8,1.0,1.0,,,14,True
70,False,False,False,False,8,8,1.0,1.0,,,14,True
71,False,True,False,True,8,8,1.0,1.0,,,14,True
72,False,False,False,True,13,3,1.0,1.0,,,14,True
73,False,False,False,False,13,3,1.0,1.0,,,14,True
74,False,False,False,False,13,3,1.0,1.0,,,14,True
75,False,False,False,True,13,3,1.0,1.0,,,14,True
76,False,True,False,True,13,3,1.0,1.0,,,14,True
77,False,True,False,True,13,3,1.0,1.0,,,14,True
78,False,True,False,False,13,3,1.0,1.0,,,14,True
79,False,True,False,True,13,3,1.0,1.0,,,14,True
80,False,False,False,True,13,3,1.0,1.0,,,14,True
81,False,False,False,True,13,3,1.0,1.0,,,14,True
